铝片厚度(mm),0.1,0.15,0.2,0.3,0.45,0.7,1,1.4,2
热源监测点温度(℃),66.7,61.9,59.4,56.5,54.7,53.21,52.3,51.7,51.2
热阻(℃/W),41.7,36.9,34.4,31.5,29.7,28.21,27.3,26.7,26.2
