铝片厚度（mm）,0.1,0.15,0.2,0.3,0.45,0.7,1,1.4
热源监测点温度（℃）,46.7,41.7,39,36.4,34.6,33.4,33.2,31.9
热阻（℃/W）,21.7,16.7,14,11.4,9.6,8.4,8.2,6.9
